Average of GDP per capita,Year,,,,,,,,,,,
Region,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
Central and Eastern Europe,1.04,1.05,1.19,1.09,1.12,1.08,1.21,1.66,1.66,1.64,,
Commonwealth States,0.81,,0.95,0.85,0.88,0.84,0.97,1.40,1.37,1.37,,
East Asia,1.15,1.28,1.32,1.21,1.24,1.19,1.30,1.74,1.73,1.70,,
Latin America and Caribbean,0.88,0.99,1.01,0.90,0.92,0.87,0.96,1.35,1.35,1.33,,
Middle East and North Africa,1.07,1.14,1.17,1.08,1.06,1.00,1.06,1.48,1.51,1.41,,
North America and ANZ,1.33,1.44,1.48,1.34,1.37,1.31,1.46,1.91,1.90,1.86,,
South Asia,0.56,0.66,0.70,0.63,0.65,0.64,0.72,1.07,1.07,1.05,,
Southeast Asia,0.79,0.90,0.97,0.90,0.93,0.89,0.97,1.40,1.40,1.37,,
Sub-Saharan Africa,0.38,0.47,0.50,0.44,0.44,0.44,0.50,0.94,0.91,0.90,,
Western Europe,1.30,1.42,1.46,1.32,1.36,1.30,1.46,1.91,1.91,1.87,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Southeast Asia,,,,,,,,,,,
,,,,,,,,,,,,
Average of Happiness score,Year,,,,,,,,,,,
Row Labels,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
Cambodia,3.82,3.91,4.17,4.43,4.70,4.85,4.83,4.64,4.39,4.34,,
Indonesia,5.40,5.31,5.26,5.09,5.19,5.29,5.35,5.24,5.28,5.57,,
Laos,4.88,4.88,,4.62,4.80,4.89,5.03,5.14,5.11,5.14,,
Malaysia,5.77,6.01,6.08,6.32,5.34,5.38,5.38,5.71,6.01,5.98,,
Myanmar,4.31,4.40,4.55,4.31,4.36,4.31,4.43,4.39,4.37,4.35,,
Philippines,5.07,5.28,5.43,5.52,5.63,6.01,5.88,5.90,5.52,6.05,,
Singapore,6.80,6.74,6.57,6.34,6.26,6.38,6.38,6.48,6.59,6.52,,
Thailand,6.46,6.47,6.42,6.07,6.01,6.00,5.99,5.89,5.84,5.98,,
Vietnam,5.36,5.06,5.07,5.10,5.18,5.35,5.41,5.49,5.76,6.04,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Country,Vietnam,,,,,,,,,,,
,,,,,,,,,,,,
Region,Average of GDP per capita,Average of Social support,Sum of Healthy life expectancy,Average of Freedom to make life choices,,,,,,,,
2015,0.63,0.91,0.75,0.59,,,,,,,,
2016,0.74,0.79,0.66,0.56,,,,,,,,
2017,0.79,1.28,0.65,0.57,,,,,,,,
2018,0.72,1.37,0.7,0.62,,,,,,,,
2019,0.74,1.35,0.85,0.54,,,,,,,,
2020,0.72,1.25,0.82,0.65,,,,,,,,
2021,0.82,0.87,0.616,0.68,,,,,,,,
2022,1.25,0.93,0.61,0.71,,,,,,,,
2023,1.35,1.21,0.381,0.74,,,,,,,,
2024,1.33,1.27,0.54,0.84,,,,,,,,
